,acc,taxid,lineage
658368,MG945795,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
659255,MG945796,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
660142,MG945797,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
661029,MG945798,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
661916,MG945799,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
662803,MG945800,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
663690,MG945801,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
664577,MG945802,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
665464,MG945803,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
666351,MG945804,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
667238,MG945805,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
668125,MG945806,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
669012,MG945807,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
669899,MG945808,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
670786,MG945809,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
671673,MG945810,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
672560,MG945811,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
673447,MG945812,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
674334,MG945813,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
675221,MG945814,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
676108,MG945815,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
676995,MG945816,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
677882,MG945817,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
678769,MG945818,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
679656,MG945819,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
680543,MG945820,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
681430,MG945821,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
682317,MG945822,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
683204,MG945823,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
684091,MG945824,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
684978,MG945825,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
685865,MG945826,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
686752,MG945827,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
687639,MG945828,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
688526,MG945829,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
689413,MG945830,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
690300,MG945831,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
691187,MG945832,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
692074,MG945833,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
692961,MG945834,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
693848,MG945835,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
694735,MG945836,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
695622,MG945837,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
696509,MG945838,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
697396,MG945839,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
698283,MG945840,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
699170,MG945841,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
700057,MG945842,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
700944,MG945843,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
701831,MG945844,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
702718,MG945845,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
703605,MG945846,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
704492,MG945847,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
705379,MG945848,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
706266,MG945849,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
707153,MG945850,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
708040,MG945851,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
708927,MG945852,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
709814,MG945853,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
710701,MG945854,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
711588,MG945855,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
712475,MG945856,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
713362,MG945857,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
714249,MG945858,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
715136,MG945859,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
716023,MG945860,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
716910,MG945861,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
717797,MG945862,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
718684,MG945863,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
719571,MG945864,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
720458,MG945865,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
721345,MG945866,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
722232,MG945867,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
723119,MG945868,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
724006,MG945869,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
724893,MG945870,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
725780,MG945909,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
726667,MH572269,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
727554,MH572270,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
728441,MH572271,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
729328,MH572272,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
730215,MH572273,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
731102,MH572274,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
731989,MH572275,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
732876,MH572276,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
733763,MH572277,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
734650,MH572278,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
735537,MH572279,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
736424,MH572280,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
737311,MH572281,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
738198,MH572282,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
739085,MH572283,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
739972,MH572284,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
740859,MH572285,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
741746,MH572286,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
742633,MH572287,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
743520,MH572288,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
744407,MH572289,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
745294,MH572290,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
746181,MH572291,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
747068,MH572292,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
747955,MH572293,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
748842,MH572294,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
749729,MH572295,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
750616,MH572296,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
751503,MH572297,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
752390,MH572298,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
753277,MH572299,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
754164,MH572300,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
755051,MH572301,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
755938,MH572302,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
756825,MH572303,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
757712,MH572304,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
758599,MH572305,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
759486,MH572306,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
760373,MH572307,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
761260,MH572308,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
762147,MH572309,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
763034,MH572310,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
763921,MH572311,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
764808,MH572312,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
765695,MH572313,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
766582,MH572314,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
767469,MH572315,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
768356,MH572316,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
769243,MH572317,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
770130,MH572318,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
771017,MH572319,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
771904,MH572320,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
772791,MH572321,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
773678,MH572322,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
774565,MH572323,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
775452,MH572324,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
776339,MH572325,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
777226,MH572326,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
778113,MH572327,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
779000,MH572328,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
779887,MH572329,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
780774,MH572330,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
781661,MH572331,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
782548,MH572332,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
783435,MH572333,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
784322,MH572334,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
785209,MH572335,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
786096,MH572336,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
786983,MH572337,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
787870,MH572338,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
788757,MH572339,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
789644,MH572340,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
790531,MH572341,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
791418,MH572342,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
792305,MH572343,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
793192,MH572344,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
794079,MH572345,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
794966,MH572346,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
795853,MH572347,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
796740,MH572348,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
797627,MH572349,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
798514,MH572350,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
799401,MH572351,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
800288,MH572352,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
801175,MH572353,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
802062,MH572354,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
802949,MH572355,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
803836,MH572356,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
804723,MH572357,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
805610,MH572358,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
806497,MH572359,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
807384,MH572360,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
808271,MH572361,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
809158,MH572362,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
810045,MH572363,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
810932,MH572364,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
811819,MH572365,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
812706,MH572366,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
813593,MH572367,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
814480,MH572368,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
815367,MH572369,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
816254,MH572370,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
817141,MH572371,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
818028,MH572372,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
818915,MH572373,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
819802,MH572374,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
820689,MH572375,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
821576,MH572376,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
822463,MH572377,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
823350,MH572378,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
824237,MH572379,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
825124,MH572380,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
826011,MH572381,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
826898,MH572382,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
827785,MH572383,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
828672,MH572384,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
829559,MH572385,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
830446,MH572386,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
831333,MH572387,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
832220,MH572388,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
833107,MH572389,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
833994,MH572390,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
834881,MH572391,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
835768,MH572392,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
836655,MH572393,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
837542,MH572394,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
838429,MH572395,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
839316,MH572396,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
840203,MH572397,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
841090,MH572398,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
841977,MH572399,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
842864,MH572400,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
843751,MH572401,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
844638,MH572402,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
845525,MH572403,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
846412,MH572404,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
847299,MH572405,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
848186,MH572406,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
849073,MH572407,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
849960,MH572408,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
850847,MH572409,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
851734,MH572410,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
852621,MH572411,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
853508,MH572412,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
854395,MH572413,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
855282,MH572414,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
856169,MH572415,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
857056,MH572416,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
857943,MH572417,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
858830,MH572418,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
859717,MH572419,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
860604,MH572420,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
861491,MH572421,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
862378,MH572422,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
863265,MH572423,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
864152,MH572424,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
865039,MH572425,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
865926,MH572426,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
866813,MH572427,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
867700,MH572428,2202644,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;__;Microviridae sp.
