,acc,taxid,lineage
347,AF069308,10742,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Hendrixvirus;Escherichia virus HK022
348,AF069529,37554,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Hendrixvirus;Escherichia virus HK97
349,AF071201,77775,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Felixounavirus;Salmonella virus FelixO1
351,AF320576,77775,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Felixounavirus;Salmonella virus FelixO1
353,AF074945,75590,Viruses;__;__;__;__;__;Mycoplasma phage MAV1
354,AF083977,2681603,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Muvirus;Escherichia virus Mu
356,M64097,2681603,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Muvirus;Escherichia virus Mu
358,AF085222,90410,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Moineauvirus;Streptococcus virus DT1
359,AF109874,35241,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactococcus phage Tuc2009
360,AF115102,72638,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Moineauvirus;Streptococcus virus Sfi19
361,AF115103,64186,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Moineauvirus;Streptococcus virus Sfi21
362,AF125163,70734,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Longwoodvirus;Vibrio virus K139
363,AF125520,10730,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Traversvirus;Escherichia virus 933W
365,Y10775,10730,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Traversvirus;Escherichia virus 933W
367,AF133242,93224,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae;Suturavirus;Spiroplasma virus SVTS2
368,AF145054,112023,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Moineauvirus;Streptococcus virus 7201
369,AF151091,120167,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Enterobacterial phage P-EibA
370,AF155037,10661,Viruses;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae;Corticovirus;Pseudoalteromonas virus PM2
371,AF157835,67571,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Hamiltonella virus APSE1
372,AF158101,2681598,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Tequatrovirus;Escherichia virus T4
373,AF158600,2681625,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Brussowvirus;Streptococcus virus Sfi11
374,AF158601,74382,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage SFi18
375,AF165214,31535,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Detrevirus;Pseudomonas virus D3
376,AF176025,31754,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactococcus phage BK5-T
378,AJ245616,31754,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactococcus phage BK5-T
380,AF176027,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
514,AF176028,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
648,AF176029,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
782,AF176030,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
916,AF176031,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
1050,AF176032,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
1184,AF176033,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
1318,AF176034,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
1452,AF299300,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
1586,AF299301,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
1720,AF299302,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
1854,AF299303,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
1988,AF299304,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
2122,AF299305,10847,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Sinsheimervirus;Escherichia virus phiX174
