name	length	score	pvalue
NODE_212_length_2229_cov_2.780589	2229	0.0715852758007608	0.613624586439192
NODE_213_length_2208_cov_5.448212	2208	0.611928288166867	0.106947821580898
NODE_214_length_2202_cov_3.895203	2202	0.159295252214648	0.43779646829035
NODE_215_length_2192_cov_3.350491	2192	0.512116747463892	0.150277035915016
NODE_217_length_2187_cov_3.076923	2187	0.770036522989019	0.0528161996253039
NODE_218_length_2184_cov_25.491310	2184	0.413926391287766	0.200223223183322
NODE_219_length_2184_cov_3.006106	2184	0.457344601970133	0.176346314824411
NODE_220_length_2176_cov_4.213579	2176	0.740457074013544	0.0627815203093236
NODE_221_length_2154_cov_3.755121	2154	0.200749913175507	0.379678718061147
NODE_222_length_2151_cov_3.951336	2151	0.719936395827938	0.0689201578506796
NODE_223_length_2142_cov_12.625299	2142	0.0227204304868999	0.815880735042054
NODE_224_length_2141_cov_3.805369	2141	0.150421097413734	0.450233188504006
NODE_225_length_2129_cov_3.632112	2129	0.498836918443358	0.15653525730458
NODE_226_length_2124_cov_2.311261	2124	0.977978495221361	0.00171403515765137
NODE_227_length_2116_cov_8.158661	2116	0.2263210367681	0.349982062422769
NODE_228_length_2106_cov_13.985861	2106	0.0715288085239062	0.613903615418344
NODE_229_length_2099_cov_2.811155	2099	0.876587469260282	0.02236217961494
NODE_231_length_2087_cov_2.874508	2087	0.904904465196513	0.0155857615498067
NODE_232_length_2065_cov_4.825871	2065	0.623999043990947	0.101327380715111
NODE_233_length_2054_cov_4.444722	2054	0.6508417783244	0.0910830310519393
NODE_234_length_2031_cov_3.745445	2031	0.801055945335811	0.043209630485909
NODE_235_length_2005_cov_5.487692	2005	0.849012740735144	0.0298561007693228
NODE_237_length_1999_cov_3.292181	1999	0.974582554537906	0.00195320285406784
NODE_238_length_1984_cov_3.816485	1984	0.592979573072388	0.114521465300753
NODE_239_length_1981_cov_3.475597	1981	0.982759442783622	0.00103639335113804
NODE_241_length_1958_cov_3.850236	1958	0.867233786833071	0.0251126081237294
NODE_242_length_1947_cov_4.500529	1947	0.626490035596001	0.100171403515765
NODE_243_length_1943_cov_2.101165	1943	0.374763226530427	0.223223183322039
NODE_244_length_1939_cov_9.510616	1939	0.559586866821969	0.128831665803006
NODE_245_length_1938_cov_19.650027	1938	0.351098857300084	0.239765615657512
NODE_246_length_1936_cov_9.438065	1936	0.823149383926448	0.037110854227289
NODE_247_length_1933_cov_21.239617	1933	0.93536154232523	0.00884920476740941
NODE_248_length_1929_cov_7.491996	1929	0.469284945707903	0.169928648303902
NODE_249_length_1921_cov_3.140943	1921	0.870235714671891	0.0241559373380635
NODE_250_length_1918_cov_3.453570	1918	0.029115696705638	0.780922390082513
NODE_251_length_1918_cov_2.957059	1918	0.63461298956033	0.0969426396141428
NODE_252_length_1896_cov_5.451928	1896	0.921951828326434	0.0117989396898792
NODE_253_length_1894_cov_11.246873	1894	0.837823886465284	0.0334037549328337
NODE_254_length_1882_cov_7.778872	1882	0.370370846761735	0.226810698768286
NODE_255_length_1880_cov_4.402740	1880	0.460201128806414	0.174751863514968
NODE_256_length_1852_cov_3.906511	1852	0.853240427496529	0.0290987363973373
NODE_257_length_1841_cov_5.319709	1841	0.432587628388187	0.189500538127317
NODE_258_length_1840_cov_3.245938	1840	0.351483389248204	0.239566309243831
NODE_259_length_1829_cov_4.299324	1829	0.412013114575459	0.201100171403516
NODE_261_length_1826_cov_6.084133	1826	0.0380308615671545	0.736596643679994
NODE_262_length_1822_cov_2.733447	1822	0.76083673021518	0.0552477378722047
NODE_263_length_1821_cov_2.938279	1821	0.681448876996642	0.0800813170167816
NODE_264_length_1806_cov_2.478584	1806	0.516724576100671	0.148244110495476
NODE_265_length_1802_cov_2.514024	1802	0.5942553612305	0.114122852473393
NODE_266_length_1796_cov_3.368754	1796	0.063622394666721	0.638577749431977
NODE_267_length_1796_cov_3.015508	1796	0.361357436999263	0.233029058875115
NODE_268_length_1796_cov_2.111430	1796	0.221875340148875	0.354566109937418
NODE_269_length_1774_cov_13.515416	1774	0.874749105663508	0.0229600988559812
NODE_270_length_1767_cov_7.773949	1767	0.300288843048465	0.279308008131702
NODE_271_length_1762_cov_3.827182	1762	0.530474205369348	0.14138796986487
NODE_272_length_1745_cov_2.468639	1745	0.806443265918041	0.0419340694383545
NODE_273_length_1741_cov_63.963227	1741	0.853592759154726	0.028939291266393
NODE_274_length_1737_cov_11.338288	1737	0.740557517661075	0.0627017977438514
NODE_275_length_1721_cov_2.290516	1721	0.121941601259642	0.498385618049189
NODE_276_length_1720_cov_5.562162	1720	0.430432838150322	0.190696376609399
NODE_277_length_1707_cov_2.919492	1707	0.447243215569331	0.181727587993782
NODE_278_length_1703_cov_8.785194	1703	0.318341638014724	0.264957946346713
NODE_279_length_1697_cov_3.675396	1697	0.18401716559095	0.401921313827879
NODE_280_length_1697_cov_3.619976	1697	0.810704934189438	0.0408179535217443
NODE_282_length_1690_cov_2.713761	1690	0.992395895532265	0.000199306413680392
NODE_283_length_1685_cov_5.008589	1685	0.694492022078465	0.0757364371985491
NODE_284_length_1683_cov_4.294226	1683	0.810750849896469	0.0407780922390083
NODE_285_length_1660_cov_6.928349	1660	0.159685746304121	0.437238410332044
NODE_286_length_1659_cov_4.208229	1659	0.52203676550006	0.145692988400367
NODE_287_length_1655_cov_3.073750	1655	0.418815584537635	0.197233626978116
NODE_288_length_1643_cov_4.530856	1643	0.031223417138898	0.770119982461036
NODE_289_length_1639_cov_14.616162	1639	0.961203194293865	0.00414557340455216
NODE_290_length_1635_cov_3.743038	1635	0.458850398441168	0.175628811735162
NODE_291_length_1632_cov_4.381103	1632	0.899967714493737	0.0168613225973612
NODE_292_length_1627_cov_8.095420	1627	0.49894308313725	0.156415673456372
NODE_293_length_1627_cov_3.646310	1627	0.612235359840763	0.106788376449954
NODE_294_length_1606_cov_2.465506	1606	0.761995668087556	0.0550484314585243
NODE_295_length_1601_cov_47.373221	1601	0.41247055861656	0.200861003707099
NODE_298_length_1594_cov_2.335932	1594	0.962568080574165	0.00410571212181608
NODE_299_length_1587_cov_2.819843	1587	0.273867962701468	0.302666719815044
NODE_300_length_1583_cov_2.820026	1583	0.91792174112594	0.0129947781719616
NODE_301_length_1582_cov_2.048461	1582	0.536338333939485	0.138398373659664
NODE_302_length_1570_cov_20.085809	1570	0.341994910656059	0.246342727308965
NODE_303_length_1561_cov_6.920983	1561	0.785415821692028	0.0479531231315024
NODE_304_length_1552_cov_2.394122	1552	0.0201257751778545	0.831426635309124
NODE_305_length_1547_cov_3.850536	1547	0.00415688097488164	0.958982740064575
NODE_306_length_1547_cov_2.376676	1547	0.958987309158336	0.00442460238370471
NODE_307_length_1542_cov_3.975790	1542	0.763894909226005	0.0545302347829553
NODE_308_length_1538_cov_2.807148	1538	0.0357911501310409	0.747279467453263
NODE_309_length_1535_cov_5.469595	1535	0.600774057382261	0.111372423964603
NODE_310_length_1533_cov_2.152909	1533	0.786099641869453	0.0477139554350859
NODE_312_length_1528_cov_2.659878	1528	0.679922169989034	0.0807190975405589
NODE_313_length_1523_cov_11.922343	1523	0.900516453554494	0.0166620161836808
NODE_314_length_1523_cov_2.478202	1523	0.423409550992823	0.195041256427632
NODE_315_length_1520_cov_3.966553	1520	0.8997175901224	0.0169410451628333
NODE_316_length_1520_cov_2.663492	1520	0.439207873416122	0.185793438832862
NODE_317_length_1519_cov_3.588115	1519	0.987640829883515	0.000757364371985491
NODE_318_length_1518_cov_9.469583	1518	0.247351493487354	0.328576553593495
NODE_319_length_1511_cov_2.260989	1511	0.930477320246014	0.00996532068401961
NODE_320_length_1510_cov_3.762199	1510	0.0655136806716051	0.632160082911468
NODE_321_length_1495_cov_2.844444	1495	0.983850836767688	0.000996532068401961
NODE_322_length_1484_cov_6.647306	1484	0.286527850651497	0.291505560648942
NODE_323_length_1461_cov_3.206970	1461	0.23941875879551	0.336987284250807
NODE_325_length_1459_cov_2.977208	1459	0.628673800822765	0.0991748714473632
NODE_326_length_1458_cov_11.833927	1458	0.850752136002091	0.0294973492246981
NODE_327_length_1457_cov_2.634807	1457	0.906638861778353	0.0151074261569737
NODE_328_length_1450_cov_3.390681	1450	0.681468465507811	0.0800813170167816
NODE_329_length_1439_cov_3.233382	1439	0.120034588598964	0.501733965799019
NODE_330_length_1436_cov_8.466329	1436	0.632308336377148	0.0978195878343365
NODE_331_length_1434_cov_7.881798	1434	0.956565639489829	0.00490293777653765
NODE_332_length_1431_cov_2.796512	1431	0.935480728270076	0.00884920476740941
NODE_333_length_1419_cov_4.908358	1419	0.844696404473999	0.031490413361502
NODE_334_length_1418_cov_3.286867	1418	0.960363844852334	0.00426515725276039
NODE_335_length_1418_cov_2.976522	1418	0.778151649040542	0.0503846613784032
NODE_336_length_1418_cov_2.688921	1418	0.816888615058741	0.0389843345158847
NODE_337_length_1415_cov_16.505147	1415	0.598193295022468	0.112368956033005
NODE_338_length_1411_cov_2.088496	1411	0.0465601195135886	0.699685095866385
NODE_339_length_1409_cov_2.361891	1409	0.318107334709874	0.265117391477658
NODE_340_length_1407_cov_4.542160	1407	0.294266154124548	0.284330529756448
NODE_341_length_1407_cov_3.135355	1407	0.363687043742007	0.23155419141388
NODE_342_length_1401_cov_2.904903	1401	0.370725667085975	0.22657153107187
NODE_343_length_1394_cov_3.878267	1394	0.236759611251298	0.33949854506318
NODE_344_length_1388_cov_9.570893	1388	0.787351610024154	0.0474349264559333
NODE_345_length_1381_cov_19.577677	1381	0.336907803822954	0.250528161996253
NODE_346_length_1368_cov_2.463823	1368	0.865436209924666	0.0256706660820345
NODE_349_length_1354_cov_2.240185	1354	0.265655844926749	0.31083828277594
NODE_350_length_1350_cov_3.528958	1350	0.173826867194526	0.415952485350979
NODE_351_length_1348_cov_3.603248	1348	0.769012894444154	0.0530952286044565
NODE_352_length_1340_cov_2.115175	1340	0.962800096182796	0.00406585083908
NODE_353_length_1338_cov_4.163679	1338	0.0453630839538647	0.704149559532826
NODE_354_length_1338_cov_2.876851	1338	0.273575741381837	0.302866026228724
NODE_355_length_1334_cov_7.766224	1334	0.999743749615438	3.98612827360784e-05
NODE_356_length_1331_cov_2.028997	1331	0.816109332577596	0.039103918364093
NODE_357_length_1329_cov_2.317896	1329	0.975419721923745	0.00195320285406784
NODE_358_length_1327_cov_6.259434	1327	0.221609090062029	0.354924861482042
NODE_359_length_1326_cov_2.962234	1326	0.541608560946498	0.135966835412764
NODE_360_length_1324_cov_4.159180	1324	0.383614011998323	0.218200661697293
NODE_361_length_1324_cov_2.124507	1324	0.595502296288196	0.113485071949615
NODE_362_length_1322_cov_2.133386	1322	0.746817036813171	0.0603499820624228
NODE_363_length_1318_cov_8.067300	1318	0.135647620036468	0.473193287359987
NODE_364_length_1317_cov_2.603803	1317	0.248209589268959	0.327659744090565
NODE_365_length_1315_cov_2.742063	1315	0.815113893945716	0.0394228086259816
NODE_366_length_1314_cov_2.856235	1314	0.184632666587578	0.400884920476741
NODE_367_length_1313_cov_2.348172	1313	0.898821217683219	0.0171004902937777
NODE_368_length_1307_cov_3.174920	1307	0.789399178449747	0.0467174233666839
NODE_369_length_1306_cov_2.552358	1306	0.442965138896048	0.183840235978794
NODE_370_length_1304_cov_8.248199	1304	0.492625866741811	0.159405269661578
NODE_371_length_1299_cov_2.824759	1299	0.110883373977999	0.518595288396381
NODE_372_length_1297_cov_3.289855	1297	0.546613963102042	0.134013632558696
NODE_373_length_1296_cov_4.179694	1296	0.226974637528343	0.349224698050783
NODE_374_length_1293_cov_4.480614	1293	0.468025894203391	0.17056642882768
NODE_375_length_1288_cov_4.004055	1288	0.130033757859212	0.483158608044007
NODE_376_length_1286_cov_3.393176	1286	0.705537152874123	0.0730258699724957
NODE_377_length_1286_cov_3.220146	1286	0.159583567887691	0.437357994180253
NODE_378_length_1286_cov_2.755483	1286	0.871199999732425	0.0239566309243831
NODE_379_length_1285_cov_2.123577	1285	0.624362228646439	0.101167935584167
NODE_380_length_1281_cov_2.503263	1281	0.803969431026508	0.0425319886793957
